Player Name,Team,7M Goal,7M Shot,6M Goal,6M Shot,9M Goal,9M Shot,Wing Goal,Wing Shot,Pivot Goal,Pivot Shot,Fastbreak Goal,Fastbreak Shot
Kraus Dustin,BER,0,0,0,0,0,0,0,0,0,0,0,0
Kristjansson Gisli Thorgeir,SCM,0,0,66,95,14,34,0,0,1,2,0,0
Kristjansson Viggo,TVB,43,59,36,52,30,57,0,0,4,4,8,9
Krone Jannes,HAN,0,0,0,2,0,0,9,17,0,0,2,2
Krzikalla Lucas,LEI,34,54,4,8,1,1,32,41,2,2,17,19
Kuhn Julius,MTM,1,4,50,81,83,178,0,0,3,3,9,11
Kunkel Yves,MTM,14,19,5,11,2,6,29,42,1,1,15,17
Kuntscher David,MTM,0,0,1,2,1,2,0,0,0,0,0,0
Kusan Tomislav,WET,0,0,0,2,0,0,0,0,13,13,1,1
Kuzmanovski Filip,HAN,0,0,44,64,24,44,1,1,0,0,15,16
Lagergren Albin,RNL,1,2,33,50,7,15,0,0,1,1,4,4
Landin Jacobsen Magnus,THW,12,19,9,11,0,0,47,64,1,5,7,8
Langhoff Matthes,BER,0,0,5,7,3,9,0,0,1,1,1,1
Larsen Mads Mensah,SGF,0,0,28,53,65,124,0,0,1,1,1,2
Larsen Patrick Wiesmach,LEI,15,24,5,5,0,0,30,50,7,11,32,38
Leban Patrik,HCE,0,0,10,13,3,6,0,0,1,4,0,0
Lemke Finn,MTM,0,0,0,0,0,0,0,0,0,0,0,0
Leppich Jonas,BHC,0,0,0,0,0,0,0,0,0,0,0,0
Lets Vladislav,BER,0,0,0,0,0,0,0,0,1,1,0,0
Leun Finn-Lukas,LEI,0,0,0,0,0,1,0,0,0,0,0,0
Lichtlein Nils,BER,0,0,5,7,2,5,0,0,0,0,0,0
Lindberg Hans,BER,115,126,12,14,1,1,57,79,15,18,21,27
Lindenchrone Andersen Jon,FAG,0,0,51,79,28,70,2,3,3,4,12,16
Lindskog Anton,SGF,0,0,0,1,1,2,0,0,8,10,1,2
Link Nikolai,HCE,0,0,4,4,3,6,0,0,0,0,2,3
Lipovina Vladan,HBW,59,73,42,72,59,175,0,0,0,0,0,1
Lonn Adam,TVB,3,5,54,81,70,147,0,0,1,1,3,4
Magnusson Omar Ingi,SCM,106,140,68,90,40,82,0,0,3,3,12,13
Mamic Marko,LEI,0,0,19,34,35,82,0,0,1,2,4,5
Marcher Petersen Mark Strandgaard,FAG,0,0,0,0,0,0,1,1,1,1,0,0
Maric Marino,MTM,0,0,0,0,0,0,0,0,17,20,0,0
Marschall Tarek,HCE,0,0,0,2,1,5,0,0,0,0,0,1
Marsenic Mijajlo,BER,0,0,2,5,0,0,0,0,84,110,10,11
Martinovic Ivan,HAN,4,13,70,99,43,90,0,1,2,2,4,8
Matthes Tim,BER,0,0,5,5,0,1,36,51,1,4,14,18
Mauch Jan Luca,TVB,0,0,0,0,0,0,0,0,0,0,0,0
Mavers Veit,HAN,9,15,62,96,12,45,0,0,1,2,2,2
Meinking Marvin,NLB,0,0,0,0,0,0,0,0,0,0,0,0
Meister Lucas,GWD,0,0,5,11,0,1,0,0,34,58,5,5
