Player Name;Team Position;Position;7M Save;6M Save;9M Save;Wing Save;Pivot Save;Fastbreak Save
Prost Primoz;TVB;GK;1;0;0;0;0;0
Spath David;RNL;GK;0;0;0;0;0;0
Jensen Mike;SCM;GK;1;1;4;1;2;1
Heinevetter Silvio;MTM;GK;3;1;1;1;1;1
Simic Nebojsa;MTM;GK;2;0;0;0;0;0
Green Krejberg Jannick;SCM;GK;0;0;0;0;0;0
Rebmann Daniel;FAG;GK;2;3;5;3;0;0
Klimpke Till;WET;GK;0;0;2;2;1;0
Suljakovic Anadin;WET;GK;1;2;1;1;0;0
Kastelic Urh;FAG;GK;0;0;0;0;0;0
Buchele Julian;FAG;GK;0;0;0;0;0;0
Sejr Jensen Simon;HBW;GK;1;6;2;2;0;1
Lesjak Urban;HAN;GK;2;1;2;0;1;0
Ruminsky Mario;HBW;GK;0;0;0;1;0;0
Ritschel Matthias;HAN;GK;0;0;0;0;0;0
Johannesson Peter;TBV;GK;0;1;7;1;1;1
Ziemer Martin;HCE;GK;0;3;1;0;0;0
Zecher Finn;TBV;GK;1;0;1;0;0;0
Ferlin Klemen;HCE;GK;0;0;0;0;0;0
Rezar Aljosa;NLB;GK;1;0;6;2;0;1
Semisch Malte;GWD;GK;0;3;3;1;1;0
Lichtlein Carsten;GWD;GK;0;2;2;0;1;0
Asheim Havard;NLB;GK;0;0;0;0;0;0
Milosavljev Dejan;BER;GK;0;1;7;5;3;1
Landin Jacobsen Niklas;THW;GK;0;1;6;0;1;0
Quenstedt Dario;THW;GK;0;0;0;0;0;0
Genz Fredrik;BER;GK;0;0;0;0;0;0
Møller Kevin;SGF;GK;0;3;3;1;1;0
Vortmann Jens;HSV;GK;0;5;0;1;0;0
Buric Benjamin;SGF;GK;0;3;2;1;0;0
Bitter Johannes;HSV;GK;0;0;2;1;0;0
Thulin Tobias;TVB;GK;1;2;1;1;2;2
Saeveraas Kristian Skinstad;LEI;GK;0;1;3;0;1;0
Birlehm Joel;LEI;GK;1;0;1;1;0;0
Prost Primoz;TVB;GK;0;0;0;0;0;0
Mrkva Tomas;BHC;GK;1;11;2;3;0;0
Katsigiannis Nikolas;RNL;GK;0;4;4;2;0;0
Rudeck Christopher;BHC;GK;0;0;0;0;0;0
Spath David;RNL;GK;0;0;0;0;0;0
Lesjak Urban;HAN;GK;1;6;1;1;0;2
Milosavljev Dejan;BER;GK;0;3;4;2;1;0
Ritschel Matthias;HAN;GK;0;0;0;0;0;0
Genz Fredrik;BER;GK;0;0;0;0;0;0
Simic Nebojsa;MTM;GK;1;5;5;1;0;3
Rebmann Daniel;FAG;GK;0;2;8;2;1;0
Heinevetter Silvio;MTM;GK;0;0;0;0;0;0
Klein Sebastian;FAG;GK;0;0;0;0;0;0
Ferlin Klemen;HCE;GK;1;1;9;3;0;0
Rezar Aljosa;NLB;GK;2;0;4;1;0;1
Asheim Havard;NLB;GK;0;0;3;0;0;0
Ziemer Martin;HCE;GK;0;0;0;0;0;0
Møller Kevin;SGF;GK;1;1;1;3;1;0
Buric Benjamin;SGF;GK;0;0;5;0;0;0
Green Krejberg Jannick;SCM;GK;0;0;2;0;2;0
Jensen Mike;SCM;GK;0;0;1;3;0;0
Zecher Finn;TBV;GK;0;3;7;4;2;0
Landin Jacobsen Niklas;THW;GK;2;5;2;3;0;1
Quenstedt Dario;THW;GK;0;0;0;0;0;0
Muhlenstadt Timon;TBV;GK;0;0;0;0;0;0
Thulin Tobias;TVB;GK;0;1;8;2;1;4
Ruminsky Mario;HBW;GK;1;5;3;1;0;0
Sejr Jensen Simon;HBW;GK;0;0;1;0;0;0
Prost Primoz;TVB;GK;0;0;0;0;0;0
Bitter Johannes;HSV;GK;0;5;2;4;3;1
Semisch Malte;GWD;GK;1;4;0;3;0;0
Lichtlein Carsten;GWD;GK;1;0;0;0;0;1
Grundel Finn Luca;HSV;GK;0;0;0;0;0;0
Heinevetter Silvio;MTM;GK;0;5;6;0;1;0
Mrkva Tomas;BHC;GK;1;1;4;0;1;0
Rudeck Christopher;BHC;GK;0;3;0;0;0;0
Simic Nebojsa;MTM;GK;0;0;0;0;0;0
Saeveraas Kristian Skinstad;LEI;GK;0;4;3;3;3;1
Rebmann Daniel;FAG;GK;2;0;2;1;1;0
Kastelic Urh;FAG;GK;0;1;0;0;0;1
Klein Sebastian;FAG;GK;1;1;0;0;0;0
Birlehm Joel;LEI;GK;0;0;0;0;0;0
Ferlin Klemen;HCE;GK;1;5;3;3;1;0
Lesjak Urban;HAN;GK;0;0;6;2;0;0
Ziemer Martin;HCE;GK;0;0;0;0;0;0
Ritschel Matthias;HAN;GK;0;0;0;0;0;0
Bitter Johannes;HSV;GK;1;4;5;0;3;2
Ruminsky Mario;HBW;GK;1;2;3;1;0;0
Sejr Jensen Simon;HBW;GK;0;0;1;0;0;0
Vortmann Jens;HSV;GK;0;0;0;0;0;0
Green Krejberg Jannick;SCM;GK;0;5;5;3;1;0
Landin Jacobsen Niklas;THW;GK;1;1;5;4;2;0
Quenstedt Dario;THW;GK;0;0;0;0;0;0
Jensen Mike;SCM;GK;0;0;0;0;0;0
Buric Benjamin;SGF;GK;0;0;5;4;0;0
Thulin Tobias;TVB;GK;1;2;1;1;0;0
Prost Primoz;TVB;GK;0;0;0;1;0;0
Møller Kevin;SGF;GK;0;0;1;0;0;0
Milosavljev Dejan;BER;GK;0;5;3;2;0;0
Rezar Aljosa;NLB;GK;0;0;2;1;0;2
Asheim Havard;NLB;GK;0;2;1;2;0;0
Genz Fredrik;BER;GK;0;0;0;0;0;0
Suljakovic Anadin;WET;GK;0;3;2;4;0;4
Palicka Andreas;RNL;GK;0;5;2;3;0;0
Klimpke Till;WET;GK;0;0;0;0;1;0
Katsigiannis Nikolas;RNL;GK;0;0;0;0;0;0
Spath David;RNL;GK;0;0;0;0;0;0
Zecher Finn;TBV;GK;0;2;3;2;1;0
Semisch Malte;GWD;GK;1;2;2;2;0;0
Johannesson Peter;TBV;GK;0;0;2;0;0;0
Lichtlein Carsten;GWD;GK;0;0;0;0;0;0
Lesjak Urban;HAN;GK;0;3;1;1;2;0
Semisch Malte;GWD;GK;0;1;2;2;1;0
Lichtlein Carsten;GWD;GK;0;1;1;0;0;0
Ritschel Matthias;HAN;GK;0;0;0;0;0;0
Sejr Jensen Simon;HBW;GK;0;4;3;1;1;2
Palicka Andreas;RNL;GK;0;5;2;2;0;0
Spath David;RNL;GK;1;2;1;0;0;0
Ruminsky Mario;HBW;GK;0;1;0;0;0;0
Rudeck Christopher;BHC;GK;2;0;10;4;0;0
Saeveraas Kristian Skinstad;LEI;GK;0;0;3;0;1;0
Birlehm Joel;LEI;GK;0;1;2;0;0;0
Mrkva Tomas;BHC;GK;0;0;0;0;0;0
Rezar Aljosa;NLB;GK;0;2;5;1;1;0
Landin Jacobsen Niklas;THW;GK;0;1;2;2;1;0
Quenstedt Dario;THW;GK;1;2;0;0;0;0
Asheim Havard;NLB;GK;1;0;1;0;1;0
Kastelic Urh;FAG;GK;0;2;5;1;0;0
